Ticker,Name,Year,Γ2,SGI,Translation,Selector
NVDA,NVIDIA (CUDA),2012,2.0,1.2,2.5,thermodynamic
NVDA,NVIDIA (CUDA),2016,3.2,2.0,3.2,thermodynamic
NVDA,NVIDIA (CUDA),2021,4.2,3.5,4.0,thermodynamic
NVDA,NVIDIA (CUDA),2026,4.8,4.67,4.8,thermodynamic
NVDA,NVIDIA (CUDA),2030,5.1,5.2,4.8,thermodynamic
STRIP,Stripe,2011,3.2,1.0,2.0,coordination
STRIP,Stripe,2016,3.8,2.1,2.8,coordination
STRIP,Stripe,2021,4.2,2.9,3.5,coordination
STRIP,Stripe,2026,4.4,3.45,3.8,coordination
STRIP,Stripe,2030,4.6,4.0,4.2,coordination
ASML,ASML (EUV),2010,1.8,2.5,3.0,thermodynamic
ASML,ASML (EUV),2016,2.6,3.2,3.8,thermodynamic
ASML,ASML (EUV),2021,3.4,4.2,4.4,thermodynamic
ASML,ASML (EUV),2026,3.8,5.0,4.5,thermodynamic
ASML,ASML (EUV),2030,4.0,5.5,4.5,thermodynamic
V,VisaNet,1995,2.0,4.2,4.8,coordination
V,VisaNet,2010,2.1,4.5,4.8,coordination
V,VisaNet,2018,2.2,4.7,4.8,coordination
V,VisaNet,2026,2.2,4.83,4.8,coordination
V,VisaNet,2030,2.1,4.9,4.7,coordination
LIN,Linde plc,2005,1.5,3.8,4.0,coordination
LIN,Linde plc,2015,1.6,4.1,4.0,coordination
LIN,Linde plc,2022,1.6,4.3,4.0,coordination
LIN,Linde plc,2026,1.6,4.4,4.0,coordination
LIN,Linde plc,2030,1.5,4.45,3.8,coordination
WM,Waste Mgmt,2000,1.2,2.2,4.2,coordination
WM,Waste Mgmt,2012,1.3,2.4,4.2,coordination
WM,Waste Mgmt,2020,1.4,2.6,4.3,coordination
WM,Waste Mgmt,2026,1.4,2.67,4.3,coordination
WM,Waste Mgmt,2030,1.3,2.7,4.2,coordination
OPENA,OpenAI (AIP),2016,4.5,0.5,1.0,thermodynamic
OPENA,OpenAI (AIP),2020,4.6,1.2,1.5,thermodynamic
OPENA,OpenAI (AIP),2023,4.7,1.8,2.0,thermodynamic
OPENA,OpenAI (AIP),2026,4.8,2.5,2.5,thermodynamic
OPENA,OpenAI (AIP),2030,4.9,3.8,3.5,thermodynamic
META,Meta (Llama),2016,2.2,1.8,4.5,reflexive
META,Meta (Llama),2020,2.5,1.5,4.5,reflexive
META,Meta (Llama),2023,3.5,2.0,4.2,reflexive
META,Meta (Llama),2026,4.7,2.8,4.5,reflexive
META,Meta (Llama),2030,4.9,4.2,4.6,reflexive
AAPL,Apple (iOS),2012,3.8,4.2,4.8,reflexive
AAPL,Apple (iOS),2018,3.5,3.8,4.8,reflexive
AAPL,Apple (iOS),2022,3.2,3.5,4.8,reflexive
AAPL,Apple (iOS),2026,2.8,3.0,4.8,reflexive
AAPL,Apple (iOS),2030,2.4,2.5,4.5,reflexive
LINUX,Linux Base,1995,3.5,2.0,0.1,coordination
LINUX,Linux Base,2005,4.2,3.8,0.1,coordination
LINUX,Linux Base,2015,4.8,5.2,0.1,coordination
LINUX,Linux Base,2026,5.0,5.8,0.1,coordination
LINUX,Linux Base,2030,5.2,6.0,0.1,coordination
