Ticker,Name,Year,Selector,Proxy_Breadth,Proxy_Depth,Proxy_ReplacementCost,Proxy_Novelty,Proxy_RevenueCapture,Proxy_CashCapture
NVDA,NVIDIA (CUDA),2012,thermodynamic,1.5,1.2,1.1,2.0,2.5,2.5
NVDA,NVIDIA (CUDA),2016,thermodynamic,3.4,3.0,2.5,3.8,3.2,3.2
NVDA,NVIDIA (CUDA),2021,thermodynamic,4.5,4.2,3.9,4.5,4.0,4.0
NVDA,NVIDIA (CUDA),2026,thermodynamic,5.0,4.8,4.9,4.6,4.8,4.8
NVDA,NVIDIA (CUDA),2030,thermodynamic,5.0,5.2,5.4,4.9,4.9,4.8
STRIP,Stripe,2011,coordination,2.0,1.1,1.0,3.2,2.0,2.0
STRIP,Stripe,2016,coordination,3.5,2.2,1.9,3.8,2.8,2.8
STRIP,Stripe,2021,coordination,4.4,3.0,2.8,4.2,3.5,3.5
STRIP,Stripe,2026,coordination,4.8,3.5,3.4,4.4,3.8,3.8
STRIP,Stripe,2030,coordination,4.9,4.2,4.0,4.6,4.2,4.2
ASML,ASML (EUV),2010,thermodynamic,1.2,3.0,2.5,3.5,3.0,3.0
ASML,ASML (EUV),2016,thermodynamic,1.5,4.2,3.8,3.8,3.8,3.8
ASML,ASML (EUV),2021,thermodynamic,2.8,4.9,4.8,3.8,4.4,4.4
ASML,ASML (EUV),2026,thermodynamic,3.3,5.0,5.0,3.8,4.5,4.5
ASML,ASML (EUV),2030,thermodynamic,3.5,5.4,5.5,4.0,4.5,4.5
V,VisaNet,1995,coordination,3.5,4.0,4.4,2.2,4.8,4.8
V,VisaNet,2010,coordination,4.0,4.4,4.6,2.2,4.8,4.8
V,VisaNet,2018,coordination,4.3,4.6,4.8,2.2,4.8,4.8
V,VisaNet,2026,coordination,4.3,4.8,4.9,2.2,4.8,4.8
V,VisaNet,2030,coordination,4.2,4.9,4.9,2.1,4.7,4.7
LIN,Linde plc,2005,coordination,2.0,3.5,3.8,1.5,4.0,4.0
LIN,Linde plc,2015,coordination,2.4,4.0,4.2,1.6,4.0,4.0
LIN,Linde plc,2022,coordination,2.6,4.2,4.4,1.6,4.0,4.0
LIN,Linde plc,2026,coordination,2.6,4.4,4.4,1.6,4.0,4.0
LIN,Linde plc,2030,coordination,2.5,4.4,4.5,1.5,3.8,3.8
WM,Waste Mgmt,2000,coordination,1.8,2.0,2.4,1.2,4.2,4.2
WM,Waste Mgmt,2012,coordination,2.1,2.2,2.5,1.3,4.2,4.2
WM,Waste Mgmt,2020,coordination,2.3,2.5,2.7,1.4,4.3,4.3
WM,Waste Mgmt,2026,coordination,2.3,2.67,2.7,1.4,4.3,4.3
WM,Waste Mgmt,2030,coordination,2.2,2.7,2.7,1.3,4.2,4.2
OPENA,OpenAI (AIP),2016,thermodynamic,2.5,0.5,0.5,4.5,1.0,1.0
OPENA,OpenAI (AIP),2020,thermodynamic,3.2,1.0,1.2,4.6,1.5,1.5
OPENA,OpenAI (AIP),2023,thermodynamic,3.6,1.5,1.9,4.7,2.0,2.0
OPENA,OpenAI (AIP),2026,thermodynamic,3.8,2.2,2.7,4.8,2.5,2.5
OPENA,OpenAI (AIP),2030,thermodynamic,4.2,3.5,4.0,4.9,3.5,3.5
META,Meta (Llama),2016,reflexive,2.0,1.5,2.0,2.2,4.5,4.5
META,Meta (Llama),2020,reflexive,2.2,1.2,1.7,2.5,4.5,4.5
META,Meta (Llama),2023,reflexive,3.2,1.8,2.2,3.5,4.2,4.2
META,Meta (Llama),2026,reflexive,4.5,2.6,3.0,4.7,4.5,4.5
META,Meta (Llama),2030,reflexive,4.8,4.0,4.4,4.9,4.6,4.6
AAPL,Apple (iOS),2012,reflexive,3.5,4.0,4.4,3.8,4.8,4.8
AAPL,Apple (iOS),2018,reflexive,3.4,3.6,4.0,3.5,4.8,4.8
AAPL,Apple (iOS),2022,reflexive,3.2,3.2,3.7,3.2,4.8,4.8
AAPL,Apple (iOS),2026,reflexive,2.8,2.8,3.2,2.8,4.8,4.8
AAPL,Apple (iOS),2030,reflexive,2.2,2.2,2.7,2.4,4.5,4.5
LINUX,Linux Base,1995,coordination,3.2,2.0,2.0,3.5,0.1,0.1
LINUX,Linux Base,2005,coordination,4.0,3.5,4.0,4.2,0.1,0.1
LINUX,Linux Base,2015,coordination,4.6,5.0,5.4,4.8,0.1,0.1
LINUX,Linux Base,2026,coordination,4.8,5.6,6.0,5.0,0.1,0.1
LINUX,Linux Base,2030,coordination,4.9,5.8,6.2,5.2,0.1,0.1
