YPBBN	DoH	He3oH	Li7oH	Neff	YPCMB	He3oHe4	n	p	H2	H3	He3	He4	Li7	Be7	He6	Li8	Li6	B8
2.4717804331e-01	2.4052610337e-05	1.0440778005e-05	5.4925883784e-10	3.0439772986e+00	2.4585108747e-01	1.2718642055e-04	3.9640525413e-16	7.5276216374e-01	1.8105895001e-05	5.8560751638e-08	7.8008618901e-06	6.1794510828e-02	2.1477774493e-11	3.9198349673e-10	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
2.4705015099e-01	2.4117166149e-05	1.0386442365e-05	5.4816576029e-10	3.0439772986e+00	2.4572365763e-01	1.2661152892e-04	3.9108343636e-16	7.5289007142e-01	1.8157574944e-05	5.7203741077e-08	7.7626455929e-06	6.1762537748e-02	2.2695910672e-11	3.9001264775e-10	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
2.4714951680e-01	2.4495638217e-05	1.0279012983e-05	5.8308629347e-10	3.0439772986e+00	2.4582266410e-01	1.2523499544e-04	4.0476401441e-16	7.5279038614e-01	1.8440080952e-05	5.8439053507e-08	7.6795030990e-06	6.1787379201e-02	2.2482915882e-11	4.1645884013e-10	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
2.4683904299e-01	2.4446799491e-05	1.0261257196e-05	5.5371007714e-10	3.0439772986e+00	2.4551331354e-01	1.2522755619e-04	4.0636865948e-16	7.5310094899e-01	1.8410907896e-05	5.9177447108e-08	7.6685850847e-06	6.1709760748e-02	2.0985743592e-11	3.9601384097e-10	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
2.4708570137e-01	2.3884057647e-05	1.0482335012e-05	5.8631780322e-10	3.0439772986e+00	2.4575907943e-01	1.2775607325e-04	3.8815877433e-16	7.5285465807e-01	1.7981224053e-05	5.8822193591e-08	7.8328525473e-06	6.1771425343e-02	2.2652091589e-11	4.1875999767e-10	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
2.4698612951e-01	2.4090241479e-05	1.0302336603e-05	5.6724464032e-10	3.0439772986e+00	2.4565986775e-01	1.2562954606e-04	3.9611960684e-16	7.5295431823e-01	1.8138851349e-05	5.7681037510e-08	7.6995077956e-06	6.1746532378e-02	2.1974409758e-11	4.0513489166e-10	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
2.4699043430e-01	2.4174909194e-05	1.0164213267e-05	5.4120007482e-10	3.0439772986e+00	2.4566415696e-01	1.2394239344e-04	3.9595716423e-16	7.5295019841e-01	1.8202502674e-05	5.8644292767e-08	7.5945021034e-06	6.1747608574e-02	1.9703066084e-11	3.8779363763e-10	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
2.4696455098e-01	2.4322230783e-05	1.0540433701e-05	5.6476252852e-10	3.0439772986e+00	2.4563836729e-01	1.2854773072e-04	4.0172109970e-16	7.5297500793e-01	1.8314031916e-05	5.8576929117e-08	7.8781062203e-06	6.1741137746e-02	2.3292845078e-11	4.0195922431e-10	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
2.4696366526e-01	2.4076996037e-05	1.0325156440e-05	5.3827086272e-10	3.0439772986e+00	2.4563748478e-01	1.2592302148e-04	3.9131039745e-16	7.5297674926e-01	1.8129418208e-05	5.9022947463e-08	7.7155797840e-06	6.1740916316e-02	2.1321559098e-11	3.8398388534e-10	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
2.4716899529e-01	2.3940912356e-05	1.0597718177e-05	5.5806334015e-10	3.0439772986e+00	2.4584207217e-01	1.2910446414e-04	3.9212541872e-16	7.5277102475e-01	1.8022025127e-05	5.8609269459e-08	7.9190459028e-06	6.1792248823e-02	2.2396837976e-11	3.9769707447e-10	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
2.4711239969e-01	2.4715481827e-05	1.0490442222e-05	5.5908848479e-10	3.0439772986e+00	2.4578568120e-01	1.2783631942e-04	4.0412619527e-16	7.5282669196e-01	1.8606474424e-05	5.7888367049e-08	7.8395965479e-06	6.1778099923e-02	2.1255803150e-11	3.9964093137e-10	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
2.4714169397e-01	2.4304056181e-05	1.0473561088e-05	5.7889710515e-10	3.0439772986e+00	2.4581486955e-01	1.2761062394e-04	3.9906626407e-16	7.5279805746e-01	1.8296046281e-05	5.8038713609e-08	7.8264377285e-06	6.1785423492e-02	2.1303820343e-11	4.1448879588e-10	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
2.4689798369e-01	2.4437943814e-05	1.0388961427e-05	5.8367310438e-10	3.0439772986e+00	2.4557204089e-01	1.2674581540e-04	4.0126510733e-16	7.5304173769e-01	1.8402791675e-05	5.8645678110e-08	7.7646758877e-06	6.1724495922e-02	2.1293810231e-11	4.1823639853e-10	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
2.4693649393e-01	2.4313260715e-05	1.0343988461e-05	5.4745998106e-10	3.0439772986e+00	2.4561041177e-01	1.2617105878e-04	4.0097468292e-16	7.5300352006e-01	1.8307970903e-05	5.8642394470e-08	7.7304173282e-06	6.1734123483e-02	2.2755441977e-11	3.8948385085e-10	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
2.4701652363e-01	2.4393996764e-05	1.0340719211e-05	5.4509922852e-10	3.0439772986e+00	2.4569015191e-01	1.2607689837e-04	4.0488685324e-16	7.5292338257e-01	1.8366810558e-05	5.8114853231e-08	7.7276544329e-06	6.1754130908e-02	2.1036724181e-11	3.8938123079e-10	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
2.4706893705e-01	2.4186413776e-05	1.0437355511e-05	5.4120890143e-10	3.0439772986e+00	2.4574237574e-01	1.2721927865e-04	3.9713399837e-16	7.5287106765e-01	1.8209251162e-05	5.9757493695e-08	7.7982254936e-06	6.1767234262e-02	2.2529709935e-11	3.8493081350e-10	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
2.4702838006e-01	2.4446117531e-05	1.0513240172e-05	5.5176376780e-10	3.0439772986e+00	2.4570196545e-01	1.2817207139e-04	4.0675487371e-16	7.5291105893e-01	1.8405752237e-05	5.8759170253e-08	7.8567756205e-06	6.1757095015e-02	2.0991100017e-11	3.9443794267e-10	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
2.4700672105e-01	2.3955870289e-05	1.0578422521e-05	5.6815525859e-10	3.0439772986e+00	2.4568038479e-01	1.2898186120e-04	3.9394601884e-16	7.5293330707e-01	1.8037172640e-05	5.8638428360e-08	7.9062082242e-06	6.1751680263e-02	2.1939504622e-11	4.0584351315e-10	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
2.4683557044e-01	2.4892375433e-05	1.0318420522e-05	5.2953208109e-10	3.0439772986e+00	2.4550985356e-01	1.2592739120e-04	4.1369748812e-16	7.5310362117e-01	1.8746538079e-05	5.9541220369e-08	7.7112986397e-06	6.1708892610e-02	2.0299311082e-11	3.7849321672e-10	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
2.4682766242e-01	2.4361865202e-05	1.0625579087e-05	5.4348568703e-10	3.0439772986e+00	2.4550197416e-01	1.2968152994e-04	3.9904620465e-16	7.5311163357e-01	1.8347204099e-05	5.7422193061e-08	7.9448250305e-06	6.1706915605e-02	2.1316224932e-11	3.8798916865e-10	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
2.4694827850e-01	2.4262605906e-05	1.0395392236e-05	5.7134214204e-10	3.0439772986e+00	2.4562215369e-01	1.2679001584e-04	3.9639083077e-16	7.5299169648e-01	1.8269540782e-05	5.9167003076e-08	7.7684770324e-06	6.1737069625e-02	2.0451268259e-11	4.0976462055e-10	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
2.4709452349e-01	2.3945989359e-05	1.0591520297e-05	5.7211189747e-10	3.0439772986e+00	2.4576786964e-01	1.2908061658e-04	3.9016000860e-16	7.5284549690e-01	1.8027630258e-05	5.8484245117e-08	7.9152941162e-06	6.1773630872e-02	2.1039493807e-11	4.0967237193e-10	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
2.4696713384e-01	2.3899127417e-05	1.0376785415e-05	5.5372543170e-10	3.0439772986e+00	2.4564094081e-01	1.2655034063e-04	3.8523162286e-16	7.5297343210e-01	1.7995407995e-05	5.8462948034e-08	7.7549807798e-06	6.1741783460e-02	2.0871067885e-11	3.9606947086e-10	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
