sample_id,Yp,D_H,He3oH,Li7oH,Neff,YPCMB,He3oHe4,n,p,H2,H3,He3,He4,Li7,Be7,He6,Li8,Li6,B8
1,0.24717804331183219,2.405261033744918e-05,1.0440778004510765e-05,5.492588378403747e-10,3.0439772985579183,0.24585108747235557,0.0001271864205489312,3.9640525413186965e-16,0.7527621637376661,1.81058950011572e-05,5.856075163801432e-08,7.80086189014214e-06,0.061794510827958046,2.1477774492595552e-11,3.9198349673216075e-10,0.0,0.0,0.0,0.0
2,0.24705015099160363,2.4117166148697556e-05,1.0386442364952605e-05,5.481657602944921e-10,3.0439772985579183,0.24572365762996176,0.00012661152891580931,3.910834363564211e-16,0.7528900714232003,1.815757494421809e-05,5.7203741076675455e-08,7.762645592905444e-06,0.06176253774790091,2.269591067166138e-11,3.900126477482117e-10,0.0,0.0,0.0,0.0
3,0.2471495168034296,2.4495638216609998e-05,1.0279012982835092e-05,5.830862934726916e-10,3.0439772985579183,0.24582266409995063,0.00012523499543983102,4.04764014409677e-16,0.7527903861372744,1.8440080951760818e-05,5.843905350718493e-08,7.679503098951302e-06,0.0617873792008574,2.2482915881868097e-11,4.164588401327915e-10,0.0,0.0,0.0,0.0
4,0.24683904299349832,2.4446799490797444e-05,1.0261257195576249e-05,5.537100771408204e-10,3.0439772985579183,0.24551331353857103,0.00012522755619303062,4.063686594835277e-16,0.7531009489857718,1.841090789618444e-05,5.917744710805317e-08,7.6685850846675e-06,0.06170976074837458,2.0985743592373432e-11,3.9601384096536336e-10,0.0,0.0,0.0,0.0
5,0.24708570137362248,2.388405764711688e-05,1.0482335011584058e-05,5.863178032189198e-10,3.0439772985579183,0.24575907943313566,0.0001277560732491654,3.8815877433474497e-16,0.752854658065819,1.798122405314449e-05,5.882219359057672e-08,7.832852547286903e-06,0.06177142534340562,2.2652091588691765e-11,4.1875999767159024e-10,0.0,0.0,0.0,0.0
6,0.24698612951164192,2.409024147922672e-05,1.0302336603034346e-05,5.672446403164796e-10,3.0439772985579183,0.24565986774858486,0.0001256295460552794,3.961196068360191e-16,0.7529543182310487,1.8138851349012485e-05,5.768103751014987e-08,7.699507795614355e-06,0.06174653237791048,2.1974409757591302e-11,4.0513489166212007e-10,0.0,0.0,0.0,0.0
7,0.24699043429661677,2.4174909193979224e-05,1.0164213267176654e-05,5.412000748227778e-10,3.0439772985579183,0.24566415695911428,0.00012394239344494173,3.9595716423286703e-16,0.7529501984080187,1.8202502674102493e-05,5.8644292766576655e-08,7.5945021034155e-06,0.06174760857415419,1.9703066083978807e-11,3.8779363763226627e-10,0.0,0.0,0.0,0.0
8,0.24696455098410505,2.4322230782693935e-05,1.054043370080406e-05,5.64762528515376e-10,3.0439772985579183,0.24563836729479263,0.000128547730721613,4.0172109969701144e-16,0.7529750079274977,1.8314031916413395e-05,5.8576929116572806e-08,7.878106220305627e-06,0.06174113774602626,2.3292845078483797e-11,4.0195922430753504e-10,0.0,0.0,0.0,0.0
9,0.24696366526324534,2.4076996037273016e-05,1.0325156439657596e-05,5.382708627233881e-10,3.0439772985579183,0.24563748477872038,0.00012592302148111748,3.913103974525966e-16,0.7529767492566544,1.8129418208011185e-05,5.902294746343652e-08,7.715579784036351e-06,0.061740916315811335,2.132155909800337e-11,3.8398388533502825e-10,0.0,0.0,0.0,0.0
10,0.24716899529327535,2.3940912355563685e-05,1.0597718177133667e-05,5.580633401523124e-10,3.0439772985579183,0.24584207216515222,0.00012910446413826957,3.9212541871834613e-16,0.7527710247519422,1.802202512739411e-05,5.860926945949781e-08,7.919045902773698e-06,0.06179224882331884,2.2396837976328936e-11,3.9769707446661903e-10,0.0,0.0,0.0,0.0
