Ticker,Quarter,Necessity,Gamma_1,Gamma_2
NVDA,2025-Q2,60.1,92.5,50.1
NVDA,2025-Q3,61.4,94.2,52.4
NVDA,2025-Q4,62.8,96.0,53.8
NVDA,2026-Q1,63.4,97.6,54.7
MSFT,2025-Q2,65.2,74.1,25.4
MSFT,2025-Q3,66.0,73.8,24.1
MSFT,2025-Q4,66.8,73.5,23.0
MSFT,2026-Q1,67.1,73.6,22.2
ASML,2025-Q2,35.4,66.3,23.5
ASML,2025-Q3,34.1,64.2,21.8
ASML,2025-Q4,32.8,61.5,18.2
ASML,2026-Q1,38.5,58.0,15.1
AMZN,2025-Q2,50.2,88.4,48.2
AMZN,2025-Q3,51.1,89.5,49.0
AMZN,2025-Q4,51.8,91.2,50.5
AMZN,2026-Q1,52.4,92.0,52.1
GOOGL,2025-Q2,58.4,85.1,42.4
GOOGL,2025-Q3,59.0,86.0,43.1
GOOGL,2025-Q4,59.5,87.2,44.0
GOOGL,2026-Q1,60.1,88.5,45.2
TSM,2025-Q2,52.1,65.4,30.2
TSM,2025-Q3,53.0,66.8,31.0
TSM,2025-Q4,54.2,68.1,32.1
TSM,2026-Q1,54.6,69.3,32.5
AAPL,2025-Q2,45.2,67.1,22.0
AAPL,2025-Q3,46.0,68.0,21.5
AAPL,2025-Q4,46.8,69.0,21.0
AAPL,2026-Q1,47.2,69.4,20.5
META,2025-Q2,40.1,65.2,28.4
META,2025-Q3,41.0,66.5,29.1
META,2025-Q4,41.8,67.8,30.2
META,2026-Q1,42.3,68.4,31.4
ORCL,2025-Q2,38.2,52.1,18.4
ORCL,2025-Q3,39.0,54.2,19.0
ORCL,2025-Q4,40.1,56.0,20.2
ORCL,2026-Q1,41.2,58.1,21.5
ADBE,2025-Q2,33.4,48.1,15.2
ADBE,2025-Q3,34.0,49.2,14.8
ADBE,2025-Q4,34.8,50.1,14.2
ADBE,2026-Q1,35.2,51.0,13.8
CRM,2025-Q2,30.1,45.2,12.0
CRM,2025-Q3,30.8,46.0,11.5
CRM,2025-Q4,31.5,47.1,11.0
CRM,2026-Q1,32.1,48.2,10.2
NOW,2025-Q2,25.4,35.2,24.1
NOW,2025-Q3,26.1,36.4,25.0
NOW,2025-Q4,27.0,38.1,26.2
NOW,2026-Q1,28.2,40.0,28.1
AMD,2025-Q2,28.1,34.2,30.1
AMD,2025-Q3,28.8,35.0,31.2
AMD,2025-Q4,29.5,36.1,32.0
AMD,2026-Q1,30.1,37.2,32.5
QCOM,2025-Q2,32.4,44.1,16.2
QCOM,2025-Q3,33.0,45.2,15.8
QCOM,2025-Q4,34.1,46.0,15.0
QCOM,2026-Q1,35.2,47.1,14.1
TXN,2025-Q2,30.1,38.2,14.0
TXN,2025-Q3,30.5,38.0,13.5
TXN,2025-Q4,31.0,37.5,12.8
TXN,2026-Q1,31.4,37.0,11.9
IBM,2025-Q2,22.4,28.1,10.2
IBM,2025-Q3,22.8,28.0,9.8
IBM,2025-Q4,23.1,27.5,9.1
IBM,2026-Q1,23.5,27.1,8.4
INTC,2025-Q2,24.1,22.0,15.4
INTC,2025-Q3,23.5,21.1,14.0
INTC,2025-Q4,22.8,19.5,12.1
INTC,2026-Q1,21.9,18.0,10.5
AVGO,2025-Q2,42.4,55.1,30.2
AVGO,2025-Q3,43.1,56.4,31.5
AVGO,2025-Q4,44.0,58.0,33.0
AVGO,2026-Q1,44.9,59.2,34.2
PLTR,2025-Q2,70.2,68.1,72.4
PLTR,2025-Q3,72.4,70.5,75.8
PLTR,2025-Q4,75.1,72.1,79.2
PLTR,2026-Q1,78.2,74.0,82.0
SHOP,2025-Q2,20.1,32.4,35.1
SHOP,2025-Q3,20.8,33.5,36.0
SHOP,2025-Q4,21.4,35.0,37.2
SHOP,2026-Q1,22.1,36.4,38.5
SNOW,2025-Q2,18.4,24.1,45.2
SNOW,2025-Q3,19.1,25.0,46.5
SNOW,2025-Q4,19.8,26.2,47.8
SNOW,2026-Q1,20.5,27.5,49.1
LIN,2025-Q2,35.4,42.1,8.4
LIN,2025-Q3,35.4,42.1,8.4
LIN,2025-Q4,35.4,42.1,8.4
LIN,2026-Q1,35.4,42.1,8.4
UNP,2025-Q2,32.1,38.4,6.2
UNP,2025-Q3,32.1,38.4,6.2
UNP,2025-Q4,32.1,38.4,6.2
UNP,2026-Q1,32.1,38.4,6.2
CNI,2025-Q2,28.4,34.2,5.1
CNI,2025-Q3,28.4,34.2,5.1
CNI,2025-Q4,28.4,34.2,5.1
CNI,2026-Q1,28.4,34.2,5.1
CSX,2025-Q2,25.1,30.4,4.2
CSX,2025-Q3,25.1,30.4,4.2
CSX,2025-Q4,25.1,30.4,4.2
CSX,2026-Q1,25.1,30.4,4.2
WM,2025-Q2,26.4,24.1,2.1
WM,2025-Q3,26.4,24.1,2.1
WM,2025-Q4,26.4,24.1,2.1
WM,2026-Q1,26.4,24.1,2.1
RSG,2025-Q2,22.1,20.4,1.8
RSG,2025-Q3,22.1,20.4,1.8
RSG,2025-Q4,22.1,20.4,1.8
RSG,2026-Q1,22.1,20.4,1.8
V,2025-Q2,35.5,69.8,5.0
V,2025-Q3,35.5,69.8,5.0
V,2025-Q4,35.5,69.8,5.0
V,2026-Q1,35.5,69.8,5.0
MA,2025-Q2,32.1,65.4,4.8
MA,2025-Q3,32.1,65.4,4.8
MA,2025-Q4,32.1,65.4,4.8
MA,2026-Q1,32.1,65.4,4.8
JPM,2025-Q2,34.2,45.1,6.5
JPM,2025-Q3,34.2,45.1,6.5
JPM,2025-Q4,34.2,45.1,6.5
JPM,2026-Q1,34.2,45.1,6.5
BAC,2025-Q2,28.1,38.2,5.1
BAC,2025-Q3,28.1,38.2,5.1
BAC,2025-Q4,28.1,38.2,5.1
BAC,2026-Q1,28.1,38.2,5.1
GS,2025-Q2,22.4,32.1,8.4
GS,2025-Q3,22.4,32.1,8.4
GS,2025-Q4,22.4,32.1,8.4
GS,2026-Q1,22.4,32.1,8.4
BLK,2025-Q2,21.5,30.4,7.2
BLK,2025-Q3,21.5,30.4,7.2
BLK,2025-Q4,21.5,30.4,7.2
BLK,2026-Q1,21.5,30.4,7.2
BRK-B,2025-Q2,44.2,40.1,5.2
BRK-B,2025-Q3,44.2,40.1,5.2
BRK-B,2025-Q4,44.2,40.1,5.2
BRK-B,2026-Q1,44.2,40.1,5.2
LMT,2025-Q2,24.5,26.2,5.1
LMT,2025-Q3,24.5,26.2,5.1
LMT,2025-Q4,24.5,26.2,5.1
LMT,2026-Q1,24.5,26.2,5.1
RTX,2025-Q2,23.1,28.4,6.2
RTX,2025-Q3,23.1,28.4,6.2
RTX,2025-Q4,23.1,28.4,6.2
RTX,2026-Q1,23.1,28.4,6.2
NOC,2025-Q2,19.2,21.5,4.1
NOC,2025-Q3,19.2,21.5,4.1
NOC,2025-Q4,19.2,21.5,4.1
NOC,2026-Q1,19.2,21.5,4.1
GD,2025-Q2,18.4,22.1,4.5
GD,2025-Q3,18.4,22.1,4.5
