Ticker,TSR_5Y_Annu
NVDA,0.547
MSFT,0.222
ASML,0.151
AMZN,0.185
GOOGL,0.162
TSM,0.243
AAPL,0.205
META,0.284
ORCL,0.182
ADBE,0.084
CRM,0.062
NOW,0.221
AMD,0.245
QCOM,0.181
TXN,0.092
IBM,0.081
INTC,-0.045
AVGO,0.342
PLTR,0.315
SHOP,0.125
SNOW,-0.105
LIN,0.142
UNP,0.095
CNI,0.081
CSX,0.075
WM,0.122
RSG,0.115
V,0.091
MA,0.105
JPM,0.141
BAC,0.052
GS,0.084
BLK,0.072
BRK-B,0.114
LMT,0.082
RTX,0.065
NOC,0.051
GD,0.054
BA,-0.082
GE,0.152
CAT,0.141
DE,0.112
HON,0.065
UPS,0.035
FDX,0.042
XOM,0.112
CVX,0.081
SHEL,0.095
TTE,0.072
NEE,0.055
DUK,0.041
SO,0.052
UNH,0.085
LLY,0.412
JNJ,0.045
PFE,-0.024
MRK,0.082
ABBV,0.124
TMO,0.101
DHR,0.092
COST,0.215
WMT,0.112
PG,0.075
KO,0.055
PEP,0.048
HD,0.105
MCD,0.082
DIS,-0.015
