Technology,Cost_To_Entry,Patent_Citations,Thermal_Envelope,Crustal_Abundance,Regulatory_Bans,Learning_Slope,Error_Decay,Net_Gain,CapEx_Millions,Systems_Deployed,Engineers_Count
Silicon_CMOS,10000000,980,200,282000,0,0.02,0.99,1.0,450000,15000000000,850000
Transformers,100,540,85,282000,2,0.35,0.40,1.0,45000,500000000,320000
Solid_State_Batteries,500000,120,120,20,0,0.12,0.15,1.0,8500,2500,4500
Quantum_Computing,50000000,85,0.1,5,0,0.05,0.08,1.0,4200,120,2800
Nuclear_Fusion,5000000000,92,100000000,282000,5,0.01,0.02,0.6,18000,5,3400
mRNA_Platforms,50000,210,80,282000,1,0.18,0.22,1.0,12000,3500000000,18000
CRISPR_Cas9,1000,340,40,282000,4,0.22,0.30,1.0,3500,45000,22000
Lithium_Ion,25000,150,60,20,0,0.08,0.95,1.0,85000,45000000,95000
Hydrogen_Fuel_Cells,150000,75,150,282000,1,0.04,0.12,0.8,6200,12000,8500
Perovskite_Solar,500,180,85,140,0,0.15,0.25,1.0,2100,15000,6200
Vacuum_Tube_1950,5,110,100,50,0,0.02,0.95,1.0,550,150000000,45000
Early_Transistor_1950,25000,420,40,5,0,0.28,0.15,1.0,15,5000,1200
Transportation_Horse,50,5,45,282000,0,0.00,1.00,1.0,50,120000000,500000
Early_Automobile,1500,240,65,45,0,0.18,0.40,1.0,450,80000,8500
Film_Photography,15,85,50,12,0,0.02,0.98,1.0,4500,250000000,65000
Early_Digital_Sensor,8000,310,40,282000,0,0.22,0.25,1.0,120,5000,1400
Double_Entry_Bookkeeping,5,420,100,282000,0,0.18,0.95,1.0,1,100000000,2500000
The_Printing_Press,500,740,120,282000,2,0.22,0.45,1.0,45,250000000,85000
The_Scientific_Method,10,980,100000000,282000,0,0.35,0.70,1.0,85000,1000000000,45000000
Public_Sanitation_Systems,5000000,310,45,282000,0,0.08,0.25,1.0,185000,12000,65000
Mechanical_Refrigeration,250,210,110,282000,1,0.15,0.85,1.0,35000,850000000,320000
Standardized_Time_Zones,1,150,100000000,282000,0,0.40,0.99,1.0,10,8000000000,5000000
