Technology,Year,Gamma_2,Invariance,dI_dt,Density,True_Historical_Era
Vacuum_Tube,1945,35.0,65.0,15.0,72.0,WWII Electronics Dominance
Vacuum_Tube,1955,18.0,62.0,-5.0,85.0,Post-War Mature Incumbent
Vacuum_Tube,1965,5.0,50.0,-15.0,32.0,Solid-State Displacement Phase
Early_Transistor,1947,78.0,12.0,5.0,0.5,Bell Labs Inception
Early_Transistor,1955,82.0,38.0,45.0,4.2,Silicon Metallurgy Ingress
Early_Transistor,1965,92.0,85.0,78.0,62.0,Mass Mainframe Urbanization
Early_Transistor,1975,95.0,95.0,22.0,96.0,Monolithic Substrate Capture
Transportation_Horse,1900,5.0,88.0,0.0,92.0,Pre-Industrial Logistics Anchor
Transportation_Horse,1910,2.0,85.0,-2.0,78.0,Urban Density Friction Limits
Transportation_Horse,1920,0.0,70.0,-10.0,15.0,Rapid Agricultural Displacement
Early_Automobile,1900,42.0,22.0,15.0,0.8,Horseless Carriage Custom Lab
Early_Automobile,1910,58.0,48.0,62.0,12.5,Model T Assembly Line Ingress
Early_Automobile,1920,72.0,88.0,84.0,75.0,Highway Infrastructure Deployment
Early_Automobile,1930,85.0,95.0,25.0,98.0,Universal Industrial Substrate
Film_Photography,1995,15.0,82.0,2.0,94.0,Silver-Halide Consumer Zenith
Film_Photography,2005,5.0,65.0,-12.0,35.0,Digital Mega-Pixel Parity Shock
Early_Digital_Sensor,1995,62.0,28.0,45.0,1.2,Niche Commercial Studio Backline
Early_Digital_Sensor,2005,78.0,84.0,88.0,65.0,Mobile Integration Takeover Wave
Steam_Engine_Marine,1820,65.0,15.0,5.0,0.2,Early Steamboat River Experiments
Steam_Engine_Marine,1840,70.0,32.0,22.0,5.4,Transatlantic Iron Hull Implementation
Steam_Engine_Marine,1865,85.0,78.0,65.0,72.0,Suez Canal Opening & Coaling Network
Merchant_Sail_Ship,1820,10.0,75.0,2.0,95.0,Packet Ship Regular Schedule Zenith
Merchant_Sail_Ship,1840,12.0,85.0,5.0,92.0,Clipper Ship Extreme Hull Optimization
Merchant_Sail_Ship,1865,2.0,60.0,-10.0,25.0,Compound Steam Engine Displace Phase
Freight_Railroad,1830,72.0,18.0,12.0,0.5,Early Locomotive Mineral Tracks
Freight_Railroad,1850,88.0,52.0,68.0,42.0,Trunk Line Network Interconnection
Freight_Railroad,1870,95.0,88.0,45.0,92.0,Transcontinental Golden Spike Zenith
Commercial_Canal,1830,22.0,65.0,4.0,85.0,Erie Canal Expansion & Inland Monopoly
Commercial_Canal,1850,10.0,55.0,-4.0,52.0,Rail Network Route Overlap Competition
Commercial_Canal,1870,0.0,40.0,-15.0,8.0,Physical Bottleneck Gridlock Freeze
Fractional_Electric_Motor,1895,78.0,22.0,18.0,0.2,Centralized Dynamo Plant Factory Test
Fractional_Electric_Motor,1910,88.0,58.0,74.0,26.4,Unit-Drive Direct Machine Wiring
Fractional_Electric_Motor,1925,95.0,92.0,42.0,88.0,Mass Factory Floor Reorganization
Central_Steam_Plant,1895,25.0,68.0,2.0,92.0,Line-Shaft Mechanical Power Anchor
Central_Steam_Plant,1910,12.0,60.0,-5.0,68.0,Friction Drag Overhead Efficiency Drain
Central_Steam_Plant,1925,2.0,45.0,-18.0,12.0,Total Electric Grid Replacement Phase
Integrated_Circuit,1960,82.0,15.0,22.0,0.1,Texas Instruments Monolithic Printing
Integrated_Circuit,1968,92.0,52.0,85.0,32.4,Apollo Guidance Computer Deploy Wave
Integrated_Circuit,1978,98.0,90.0,52.0,95.0,VLSI Microprocessor Substrate Capture
Discrete_Transistor,1960,45.0,68.0,14.0,88.0,Consumer Pocket Radio Zenith
Discrete_Transistor,1968,22.0,55.0,-8.0,52.0,Component Interconnection Wiring Choke
Discrete_Transistor,1978,5.0,40.0,-22.0,12.0,Monolithic Logic Circuit Displacement
Proprietary_SNA_Network,1981,30.0,62.0,5.0,82.0,IBM Enterprise Terminal Centralization
Proprietary_SNA_Network,1991,12.0,50.0,-8.0,55.0,Closed Sandbox Architecture Friction
Open_TCP_IP_Protocol,1981,85.0,40.0,42.0,0.5,ARPANET Standardization Milestone
Open_TCP_IP_Protocol,1991,96.0,75.0,88.0,34.2,Commercial Backbone NSFNET Ingress
Personal_Computer,1977,72.0,32.0,45.0,0.8,Apple II / Trinity Consumer Inception
Personal_Computer,1987,88.0,64.0,76.0,42.0,Wintel Corporate Workspace Takeover
Centralized_Mainframe,1977,24.0,65.0,2.0,92.0,IBM System/370 Enterprise Center
Centralized_Mainframe,1987,10.0,55.0,-6.0,48.0,Client-Server Fractional Compute Drag
Hyperscale_Cloud,2006,88.0,38.0,52.0,1.2,Amazon AWS Simple Storage Launch
Hyperscale_Cloud,2016,96.0,82.0,85.0,68.0,Enterprise Infrastructure Migration Wave
Local_PC_Server_Stack,2006,32.0,65.0,4.0,88.0,On-Premise Corporate Server Room
Local_PC_Server_Stack,2016,10.0,45.0,-14.0,28.0,Physical Lifecycle Depreciation Drag
