Ticker,Necessity,Gamma_1,Gamma_2,Systemic_Score
NVDA,63.4,97.6,54.7,69.8
MSFT,67.1,73.6,22.2,45.6
ASML,38.5,58.0,15.1,41.7
AMZN,52.4,92.0,52.1,62.2
GOOGL,60.1,88.5,45.2,61.0
TSM,54.6,69.3,32.5,47.2
AAPL,47.2,69.4,20.5,39.3
META,42.3,68.4,31.4,41.1
ORCL,41.2,58.1,21.5,43.2
ADBE,35.2,51.0,13.8,32.5
CRM,32.1,48.2,10.2,25.4
NOW,28.2,40.0,28.1,32.1
AMD,30.1,37.2,32.5,28.4
QCOM,35.2,47.1,14.1,31.2
TXN,31.4,37.0,11.9,28.1
IBM,23.5,27.1,8.4,21.2
INTC,21.9,18.0,10.5,15.1
AVGO,44.9,59.2,34.2,43.0
PLTR,78.2,74.0,77.8,71.5
SHOP,22.1,36.4,38.5,29.4
SNOW,20.5,27.5,49.1,29.1
LIN,35.4,42.1,8.4,28.1
UNP,32.1,38.4,6.2,25.2
CNI,28.4,34.2,5.1,22.1
CSX,25.1,30.4,4.2,20.4
WM,26.4,24.1,2.1,20.1
RSG,22.1,20.4,1.8,17.2
V,35.5,69.8,5.0,31.2
MA,32.1,65.4,4.8,28.4
JPM,34.2,45.1,6.5,24.1
BAC,28.1,38.2,5.1,21.5
GS,22.4,32.1,8.4,21.2
BLK,21.5,30.4,7.2,19.5
BRK-B,44.2,40.1,5.2,31.4
LMT,24.5,26.2,5.1,20.1
RTX,23.1,28.4,6.2,21.5
NOC,19.2,21.5,4.1,15.2
GD,18.4,22.1,4.5,15.1
BA,19.2,20.8,4.1,14.2
GE,24.2,28.4,8.2,21.5
CAT,26.1,25.2,5.1,20.4
DE,22.4,24.1,6.2,18.2
HON,23.5,26.4,7.1,19.2
UPS,24.1,32.5,4.2,20.1
FDX,18.2,28.4,4.1,17.2
XOM,36.2,22.4,1.2,24.1
CVX,28.1,20.5,1.1,21.5
SHEL,24.2,21.4,1.4,19.2
TTE,21.5,18.2,1.5,17.2
NEE,32.4,24.5,3.2,21.5
DUK,24.1,18.2,2.1,18.2
SO,22.8,20.1,2.4,17.2
UNH,35.2,46.1,4.2,25.1
LLY,55.1,35.2,39.0,41.2
JNJ,38.4,42.1,12.4,31.2
PFE,24.2,30.1,15.2,21.5
MRK,34.1,35.2,16.4,24.1
ABBV,32.4,28.1,11.2,21.5
TMO,28.1,48.2,10.1,24.1
DHR,26.4,44.1,11.2,22.4
COST,24.2,26.1,3.1,20.1
WMT,32.1,38.4,4.2,25.1
PG,28.4,25.1,3.2,21.5
KO,25.2,24.0,2.1,19.2
PEP,22.4,22.5,2.4,18.2
HD,26.1,28.2,3.1,21.5
MCD,22.4,21.5,2.0,18.2
DIS,21.5,26.4,4.2,18.2
